CODE,COUNTRY,POPULATION,TOTAL_CASES,TOTAL_DEATH_COUNT,GDP_FY2020
MNG,Mongolia,15.00283311,220,0,9379310359
MNE,Montenegro,13.35039417,216,5,9705602795
MSR,Montserrat,8.516993171,213,0,0
MAR,Morocco,17.42400819,256,8,8920658034
MOZ,Mozambique,17.25770384,211,4,7035359264
MMR,Myanmar,17.81205473,212,7,8629020214
NAM,Namibia,14.7480352,219,5,9163438264
NPL,Nepal,17.18751281,294,7,7800901839
NLD,Netherlands,16.6566263,294,9,10788752830
NCL,New Caledonia,12.56196578,213,0,0
NZL,New Zealand,15.38874766,294,3,10493655910
NIC,Nicaragua,15.70629361,215,5,8579499974
NER,Niger,17.00213737,213,4,6830874235
NGA,Nigeria,19.1440641,294,7,8582691377
MNP,Northern Mariana Islands,10.96053104,203,1,0
NOR,Norway,15.5058355,294,6,11079061760
OMN,Oman,15.44604869,294,7,10544306930
PAK,Pakistan,19.21318595,294,9,8524110809
PSE,Palestine,15.44502871,227,6,8400636454
PAN,Panama,15.27755412,225,8,10010862700
PNG,Papua New Guinea,16.00683186,213,2,8248841478
PRY,Paraguay,15.78017657,227,7,9085571618
PER,Peru,17.3111646,235,10,9412195402
PHL,Philippines,18.51217534,294,9,8935796678
POL,Poland,17.44905184,228,8,10211576670
PRT,Portugal,16.13757538,233,8,10237703530
PRI,Puerto Rico,14.86662585,206,7,10464378810
QAT,Qatar,14.87366884,294,5,11669378630
ROU,Romania,16.77238152,294,9,10056774960
RUS,Russia,18.79866817,294,10,10117225170
RWA,Rwanda,16.37677691,219,4,7525214548
KNA,Saint Kitts and Nevis,10.88166329,208,0,10112710050
LCA,Saint Lucia,12.1206727,219,0,9468993065
VCT,Saint Vincent and the Grenadines,11.61680789,216,0,9280532817
SMR,San Marino,10.43229061,294,4,10948373240
STP,Sao Tome and Principe,12.2975619,194,3,8023786310
SAU,Saudi Arabia,17.36552634,232,9,10800501900
SEN,Senegal,16.63354636,235,6,7812208220
SRB,Serbia,15.73310882,237,7,9550298027
SYC,Seychelles,11.49618614,219,0,10180448120
SLE,Sierra Leone,15.89207108,202,4,7237274830
SGP,Singapore,15.58201085,294,3,11356685410
SXM,Sint Maarten (Dutch part),10.66620744,226,3,10500322930
SVK,Slovakia,15.51289396,228,4,10314111070
SVN,Slovenia,14.54736486,228,5,10354589920
SLB,Solomon Islands,13.43991197,4,0,7698901294
SOM,Somalia,16.5814031,217,5,0
ZAF,South Africa,17.8982664,256,10,9416937869
KOR,South Korea,17.75260041,294,6,10489560920
SSD,South Sudan,16.23086427,197,4,7358759558
ESP,Spain,17.66042712,293,10,10442094480
LKA,Sri Lanka,16.87952045,294,3,9364697630
SDN,Sudan,17.59626861,220,7,8404361950
SUR,Suriname,13.28215639,214,5,9530038347
SWZ,Swaziland,13.96407193,219,5,8954024529
SWE,Sweden,16.1279737,291,9,10756823210
CHE,Switzerland,15.97360361,294,8,10957976670
SYR,Syria,16.67774898,211,6,0
TWN,Taiwan,16.98590072,294,2,0
TJK,Tajikistan,16.07075684,172,4,7971400966
TZA,Tanzania,17.9054155,217,3,7894804150
THA,Thailand,18.06114425,294,4,9697549570
